state,district_name,odop_product_name,odop_gi_tag,min_setup_cost,max_setup_cost,gross_margin_d2c,breakeven_timeline,opportunity_score,why_this_district,page_slug
Andaman and Nicobar Islands,Nicobars,Coconut & Coconut based products,No,250000,5000000,50-65%,10-16 months,8,"Nicobar Islands have ideal tropical climate and soil for coconut cultivation with abundant raw material supply. The district contributes ₹307,498 million to national GDP and accounts for India's 31.45% share of world coconut production. Proximity to Southeast Asian markets via sea route offers direct export advantage.",coconut-coconut-based-products-nicobars
Andaman and Nicobar Islands,North and Middle Andaman,Fisheries/Marine products,No,850000,5000000,45-65%,10-16 months,9,"North and Middle Andaman sits at the intersection of the Bay of Bengal and Andaman Sea, providing year-round access to premium marine species — shrimp, fish, cuttlefish, squid. Raw materials are caught locally within 50 km of processing centers. The district exports ₹55,992.95 Cr of marine products annually, creating massive demand for processing, freezing, and value-added work.",fisheries-marine-products-north-and-middle-andaman
Andaman and Nicobar Islands,South Andamans,Marine Products,No,450000,2500000,50-65%,10-16 months,8,South Andaman sits at the convergence of the Arabian Sea and Bay of Bengal with direct access to tropical fisheries and deep-sea resources. The district has 400+ registered fishing vessels and 15+ licensed cold chains with HACCP certification. Port Blair serves as the trans-shipment hub for South and Southeast Asian seafood trade.,marine-products-south-andamans
Andhra Pradesh,Alluri Sitarama Raju,Coffee (Araku),No,350000,1500000,50-65%,12-18 months,8,"Alluri Sitarama Raju district sits in the Eastern Ghats with 2.45 lakh acres under coffee cultivation across 11 Agency mandals, producing 15,000 tonnes annually. Altitude of 900-1500m provides ideal growing conditions for specialty Arabica. Proximity to Visakhapatnam port (80km) enables direct export access.",coffee-araku-alluri-sitarama-raju
Andhra Pradesh,Anakapalli,Etikoppaka Lacquerware/Wooden Toys,No,150000,500000,60-75%,10-16 months,8,"Etikoppaka village sits on the Varaha River in Vishakhapatnam district, with abundant cashew wood supply from local trees. The artisan base spans 45+ documented product varieties with 6+ generations of craft knowledge. Buyers include gift shops, museums, and export markets across Europe and North America.",etikoppaka-lacquerware-wooden-toys-anakapalli
Andhra Pradesh,Anantapuram (Anantapur),Cotton/Jean Pants,No,300000,2000000,50-65%,10-16 months,8,"Rayadurg cluster in Anantapuram has concentrated 50,000 textile workers across 20 factory units and 400 home-based stitching families, with direct access to raw jeans cloth from Ahmadabad and Mumbai, and proximity to Bangalore and Bellary for zips, buttons, and lining materials. The district ships finished products to Hyderabad, Bangalore, and Chennai malls and branded jeans companies. Women comprise 60-70% of the workforce, creating flexible labour availability.",cotton-jean-pants-anantapuram-anantapur
Andhra Pradesh,Ananthpuram (Anantapur),Dharmavaram Silk Sarees,No,250000,1500000,60-75%,10-16 months,8,"Anantapur has been a silk weaving center for over 400 years, with artisans concentrated in Dharmavaram town specializing in silk saree production. Raw silk is sourced from Karnataka and Tamil Nadu, keeping input costs predictable. The district sits between major metro buyer markets (Bangalore, Hyderabad, Chennai) with direct NH connectivity and established export channels to Southeast Asia and the Middle East.",dharmavaram-silk-sarees-ananthpuram-anantapur
Andhra Pradesh,Annamayya (Rayachoty),Cotton / Jean Pants,No,350000,1200000,60-75%,10-16 months,8,"Annamayya sits in India's cotton belt with raw cotton availability from 114.47 lakh hectares across Andhra Pradesh and neighboring regions. The district has established textile infrastructure and access to denim mills in the region. Buyer markets are Delhi, Mumbai, Bangalore, and export hubs in Tiruppur and Coimbatore within 500-800 km.",cotton-jean-pants-annamayya-rayachoty
Andhra Pradesh,Bapatla,Granite Cutting and Polishing,No,850000,3500000,45-60%,10-16 months,8,"Bapatla sits 200 km north of Bengaluru with direct access to raw granite blocks from Gurijepalli (Black Granite) and Konidena (Colour Granite) quarries. The district has 566 MDL units in 4 established clusters (Martur, Ballikurava, Gurijepalli, Santhamaguluru) producing standardized 321326.426 sq.ft of granite dispatched in 2024-25. Buyer proximity to construction sectors in Bangalore, Hyderabad, and Chennai reduces transport cost.",granite-cutting-and-polishing-bapatla
Andhra Pradesh,Chittoor,Venkatagiri Sarees,No,250000,1500000,50-65%,10-16 months,8,"Chittoor district contains the Venkatagiri and Patur clusters in neighboring Nellore, with raw materials sourced directly from Madanapalle, Thamballapalle, Nagari, Puttur, Srikalahasti, Kalakada and parts of Chittoor itself. The district has a 400+ year tradition of handloom weaving with an established artisan base. Proximity to major wedding markets across South India ensures consistent seasonal demand.",venkatagiri-sarees-chittoor
Andhra Pradesh,Dr BR Ambedkar Konaseema,Natural banana fibres,No,250000,1200000,52-65%,10-16 months,8,Dr. BR Ambedkar Konaseema is a major banana-cultivating region in Andhra Pradesh with abundant pseudo stem availability year-round. The district has traditional artisan communities experienced in fiber extraction and processing. Proximity to ports in Visakhapatnam (100 km) enables direct export access to global textile and handicraft markets.,natural-banana-fibres-dr-br-ambedkar-konaseema
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Shrimp,No,1200000,5000000,50-65%,12-18 months,,"Konaseema sits along the Bay of Bengal coast with ideal brackish water conditions for shrimp aquaculture. The region has 400+ operational shrimp farms, deep-rooted fishing traditions, and established supply chains to metros. Natural salinity, temperature stability, and two decades of farming expertise make this district the shrimp capital of Andhra Pradesh.",shrimp-dr-b-r-ambedkar-konaseema
Andhra Pradesh,East Godavari,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts)",No,350000,2500000,60-75%,10-16 months,7,"East Godavari has fertile agricultural land with year-round fruit production (mangoes, lemons, cashew nuts). The district hosts multiple functional food processing units already operational, reducing learning curve. Proximity to Chennai and Visakhapatnam ports enables both domestic wholesale and export shipping.",fruit-based-food-products-pickles-mango-jelly-fruit-pulp-cashew-nuts-lemon-extracts-east-godavari
Andhra Pradesh,Eluru,Gold Jewellery,No,500000,5000000,50-70%,10-18 months,,"Eluru has a 300+ year heritage of skilled goldsmithing passed down through generations of artisan families. The district's proximity to major temple towns and cultural centers in Andhra Pradesh creates constant demand for traditional festival jewelry. Local artisans possess rare expertise in filigree, granulation, and traditional motif work that cannot be easily replicated elsewhere.",gold-jewellery-eluru
Andhra Pradesh,Guntur,Chillies,No,150000,1500000,50-65%,10-16 months,9,"Guntur has 18,400 hectares dedicated to chilli cultivation with soil and climate perfectly suited for Sannam varieties. The district is home to Guntur Market Yard, Asia's largest chilli wholesale hub, connecting you directly to buyers across India and 6 export nations. Established supply chains, skilled farmers, and decades of export infrastructure mean raw material costs are lowest here.",chillies-guntur
Andhra Pradesh,Kakinada,Uppada Jamdani Sarees,No,300000,1500000,60-75%,12-18 months,7,"Uppada cluster in Kakinada has concentrated weaver artisans trained in pit-loom Jamdani technique since colonial times. Raw materials (silk, weft/warp threads) are procured from Tamil Nadu and West Bengal suppliers within 500-1000 km. The cluster exports to European and North American buyers seeking certified GI sarees.",uppada-jamdani-sarees-kakinada
Andhra Pradesh,Krishna,Machilipatnam Kalamkari,No,150000,800000,60-75%,10-16 months,8,"Pedana and Machilipatnam towns are the only production centers for this Kalamkari style in India, with artisans concentrated within 13 km radius. Coastal Krishna district provides easy access to cotton cloth and vegetable dyes from local suppliers. Government support and GI status create regulatory moat and export preference.",machilipatnam-kalamkari-krishna
