key,name,industry,description,idea_slug,mapped_by
S1E1P1,Blue Pine Foods,Food and Beverage,Frozen Momos,frozen-and-ready-to-cook-foods,momo|frozen|ready to cook|jackfruit|instant curr|soup|ready-to-eat|soya chaap|plant based meat|plant-based meat|diy food|breakfast option|overnight oats
S1E1P2,Booz Scooters,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,ev-charging-and-rental,rent|leasing|subscription|sharing
S1E1P3,Heart Up My Sleeves,Beauty/Fashion,Detachable Sleeves,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E2P4,Tagz Foods,Food and Beverage,Healthy Potato Chips Snacks,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E2P5,Head And Heart,Children/Education,Brain Development Course,kids-enrichment-classes,course|school|classes|brain development|chess|music classes|teaching|therapy|therapeutic
S1E2P6,Agritourism,Agriculture,Tourism,farm-stay-agri-tourism,tourism
S1E3P7,q Zense Labs,Food and Beverage,Food Freshness Detector,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E3P8,Peeschute,Beauty/Fashion,Disposable Urine Bag,personal-care-brand,override
S1E3P9,NOCD,Food and Beverage,Energy Drink,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E4P10,Cos IQ,Beauty/Fashion,Intelligent Skincare,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S1E4P11,Jha Ji Achaar,Food and Beverage,Pickle,pickle-and-papad-brand,pickle|chutney|sauce|relish|jam|marinade|fruit spread|mukhwas|mouth fresh
S1E4P12,Bummer,Beauty/Fashion,Underwear,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E5P13,Revamp Moto,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,ev-assembly,.
S1E5P14,Hungry Head,Food and Beverage,Restaurant serving 80 types of Maggi,quick-service-food-outlet,qsr|restaurant|food kart|food truck|maggi|pizza|kulche|parathas|cuisine|dining|pancake|kunafa
S1E5P15,Shrawani Engineers,Beauty/Fashion,Belly Button Shaper,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S1E6P16,Skippi Ice Pops,Food and Beverage,Ice-Pops,ice-cream-and-desserts-brand,ice.?cream|ice-?pops|gelato|dessert|kheer|cheesecake|waffles
S1E6P17,Menstrupedia,Children/Education,Menstrual Awareness Comic,publishing-and-comics,comic|book
S1E6P18,Hecoll,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,hardware-product-startup,override
S1E7P19,Raising Superstars,Children/Education,Child Development App,consumer-app-startup,.
S1E7P20,Torch-it,Children/Education,Gadgets for visually impaired people,hardware-product-startup,device|gadget
S1E7P21,Kavach,Children/Education,Report bullying incidents,consumer-app-startup,.
S1E7P22,La Kheer Deli,Food and Beverage,Kheer in variety of flavors,ice-cream-and-desserts-brand,ice.?cream|ice-?pops|gelato|dessert|kheer|cheesecake|waffles
S1E8P23,Beyond Snack,Food and Beverage,Kerala Banana Chips,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E8P24,Vivalyf Innovations,Medical/Health,Easy Life Prickless Diabetes Testing Machine,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S1E8P25,Motion Breeze,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,ev-assembly,.
S1E9P26,Altor,Manufacturing,Smart Helmets,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E9P27,Ariro,Manufacturing,Wooden Toys,toys-and-games-brand,toy|games|balance bike|playing equipment|diy kits|satellites by kids|microscope|crayon
S1E9P28,Kabira Handmad,Food and Beverage,Healthy Edible Oils dairy products spices flour,spice-processing-unit,spice|\batta\b|flour|\baata\b
