ref,action,name,pitch
S1E1P2,rename,E-Bike Rental for Campuses,
S1E2P4,rename,Healthy Potato Chips,
S1E3P8,rename,Disposable Urine Bags,
S1E4P10,rename,Science-Led Skincare Brand,
S1E5P13,rename,Electric Bike Brand,
S1E5P14,rename,Maggi Cafe,
S1E6P18,rename,Anti-Pollution Fabric,
S1E7P21,rename,Anti-Bullying Reporting App,
S1E7P22,rename,Flavoured Kheer Brand,
S1E9P28,rename,Healthy Staples Brand,
S1E10P31,rename,Student Community App,
S1E12P35,rename,Ayurvedic Skincare & Lifestyle Brand,
S1E13P38,rename,Braille Literacy Device,
S1E13P40,rename,B2B Yarn Trading Marketplace,
S1E14P42,rename,Healthy Indian Snacks,
S1E15P46,rename,Coconut Water Franchise,
S1E16P48,rename,Dog Hygiene Products,
S1E17P53,rename,Surprise Planning Service,
S1E18P57,rename,Electric Auto-Rickshaw,
S1E18P58,skip,,
S1E19P60,rename,Livestock Health Monitoring Tags,
S1E19P61,rename,Medical Keto Diet Plans,
S1E21P67,skip,,
S1E24P77,rename,Gift Soaps,
S1E24P78,skip,,
S1E24P79,rename,Home-Style Food Delivery,
S1E27P88,rename,Industrial Automation Solutions,
S1E27P89,rename,Insurance Claim Help Service,
S1E28P91,rename,Kunafa Dessert Outlet,
S1E29P94,rename,Stainless Steel Kitchenware,
S1E29P95,rename,OTT Streaming Aggregator,
S1E30P96,rename,Drinking Glass Rim Shields,
S1E30P97,rename,Kabaddi League & App,
S1E31P100,rename,Upcycled Scrap Products,
S1E31P101,rename,Vegetable Storage Device,
S1E31P103,rename,Smart Locks,
S1E32P104,rename,Proposal Planning Service,
S1E32P105,rename,Ad-Tech Display Agency,
S1E33P108,rename,Orthopaedic Insoles,
S1E33P111,rename,Virtual Reality Experiences,
S1E34P112,rename,Bacon Jams & Relishes,
S1E34P115,rename,Fast-Cooking Appliance,
S1E35P118,skip,,
S1E36P119,rename,Sneaker Storage Crates,
S1E36P121,skip,,
S1E36P122,rename,Content Translation Service,
S1E0P125,skip,,
S1E0P126,rename,Waterless Bathing Products,
S1E0P131,rename,Superfood Snacks & Drinks,
S1E0P132,rename,Kidney Test Device,
S1E0P135,rename,Satellite-Building Kits for Kids,
S1E0P136,rename,Napping Pods,
S1E0P138,skip,,
S1E0P141,rename,Sports Nutrition Snacks,
S1E0P142,rename,Online Puja & Daan Services,
S1E0P144,skip,,
S1E0P147,rename,Chole Kulche Outlet,
S1E0P150,rename,Premium Home Decor,
S1E0P151,rename,Designer Solar Panels,
S2E1P154,rename,Flavoured Tea Brand,
S2E1P155,skip,,
