id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source
1,"D2C, Regional Crafts & ODOP Brands",Terracotta Cookware,Traditional clay pots for healthy cooking,Urban Health Conscious,pottery-studio,2,online,small,both,sheet-500
2,"D2C, Regional Crafts & ODOP Brands",Bamboo Toothbrushes,Eco-friendly oral care products,Eco-conscious Consumers,eco-friendly-products-brand,,,,,sheet-500
3,"D2C, Regional Crafts & ODOP Brands",Jute Yoga Mats,Sustainable mats for fitness enthusiasts,Yoga Practitioners,eco-friendly-products-brand,,,,,sheet-500
4,"D2C, Regional Crafts & ODOP Brands",Vegan Leather Bags,Bags made from cactus and plant leather,Fashion Forward Millennials,bags-and-accessories-brand,,,,,sheet-500
5,"D2C, Regional Crafts & ODOP Brands",Handloom Linen Shirts,Breathable organic linen apparel,Working Professionals,handloom-textiles-brand,,,,,sheet-500
6,"D2C, Regional Crafts & ODOP Brands",Khadi Denim,Handspun eco-friendly denim wear,Gen Z Consumers,handloom-textiles-brand,,,,,sheet-500
7,"D2C, Regional Crafts & ODOP Brands",Ayurveda Skincare,Natural herb-based beauty products,Beauty Enthusiasts,personal-care-brand,,,,,sheet-500
8,"D2C, Regional Crafts & ODOP Brands",Neem Wood Combs,Anti-bacterial wooden hair combs,Haircare Conscious,eco-friendly-products-brand,,,,,sheet-500
9,"D2C, Regional Crafts & ODOP Brands",Organic Cotton Babywear,Chemical-free clothing for infants,New Parents,d2c-apparel-brand,2,online,small,both,sheet-500
10,"D2C, Regional Crafts & ODOP Brands",Upcycled Saree Dresses,Modern fashion from vintage sarees,Sustainable Shoppers,d2c-apparel-brand,1,online,solo,both,sheet-500
11,"D2C, Regional Crafts & ODOP Brands",Copper Water Bottles,Health-boosting traditional water storage,Fitness Enthusiasts,crockery-and-kitchenware-store,2,online,small,both,sheet-500
12,"D2C, Regional Crafts & ODOP Brands",Brass Utensils,Vintage style brass kitchenware,Home Decorators,handcrafted-home-decor,,,,,sheet-500
13,"D2C, Regional Crafts & ODOP Brands",Wooden Toys (Channapatna),"Safe, non-toxic traditional toys",Toddler Parents,toys-and-games-brand,2,online,small,both,sheet-500
