key,name,idea_slug,note
S1E0P130,StudioBeej,bags-and-accessories-brand,manual review
S1E0P137,Gizmoswala,personal-care-brand,manual review
S1E10P30,Meatyour,poultry-farm,manual review
S1E23P76,ModernMyth,bags-and-accessories-brand,manual review
S1E24P77,TheSassBar,handmade-soap-and-cosmetics,manual review
S1E30P96,Sippline,hardware-product-startup,manual review
S1E3P8,Peeschute,personal-care-brand,manual review
S1E6P18,Hecoll,hardware-product-startup,manual review
S2E21P214,Dabble,stationery-and-art-supplies,manual review
S2E32P250,Homestrap,bags-and-accessories-brand,manual review
S2E44P294,Kitsons,stationery-and-art-supplies,manual review
S2E45P299,SinghStyled,personal-care-brand,manual review
S2E46P301,ThePlatedProject,crockery-and-kitchenware-store,manual review
S3E13P359,DaakRoom,content-writing-agency,manual review
S3E26P397,Aroleap,hardware-product-startup,manual review
S3E28P403,CreativeHatti,graphic-design-studio,manual review
S3E29P406,WiseLife,sports-goods-brand,manual review
S3E39P437,iDreamCareer,career-counselling,manual review
S3E45P456,Prorata,consumer-app-startup,manual review
S3E49P466,Competishun,coaching-centre,manual review
S3E50P469,NeonAttack,handcrafted-home-decor,manual review
S4E10P505,ProjectClay,career-counselling,manual review
S4E18P530,Metashot,toys-and-games-brand,manual review
S4E24P547,BurgerBae,d2c-apparel-brand,manual review
S4E28P560,NeuraSim,medical-devices-startup,manual review
S4E30P567,Vibrasense,medical-devices-startup,manual review
S4E31P568,NearBook,used-book-store,manual review
S4E31P570,Klimate,hardware-product-startup,manual review
S4E36P583,DorabiAndAmili,d2c-apparel-brand,manual review
S4E3P485,NOOE,bags-and-accessories-brand,manual review
S4E3P487,CurveElectric,ev-charging-and-rental,manual review
S4E41P598,Beautywise,nutrition-supplements-brand,manual review
S4E6P496,MissCheesecake,ice-cream-and-desserts-brand,manual review
S5E20P689,Metadrive,hardware-product-startup,manual review
S5E23P698,MishmashNaturals,personal-care-brand,manual review
S5E29P717,Anjanibooks,used-book-store,manual review
S5E31P722,Kreo,hardware-product-startup,manual review
S5E37P742,KrimmyThickshakes,beverage-brand,manual review
S5E38P745,Boingg,furniture-workshop,manual review
S5E47P773,Greenpista,consumer-app-startup,manual review
S5E51P783,Circato,recycling-and-waste,manual review
S5E7P652,CorelLifecare,vermicompost-unit,manual review
S5E9P658,Japam,pooja-and-incense-products,manual review
