state,district,product,idea_slug
Andaman and Nicobar Islands,Nicobars,Coconut & Coconut based products,agro-processing-unit
Andaman and Nicobar Islands,North and Middle Andaman,Fisheries/Marine products,seafood-processing
Andaman and Nicobar Islands,South Andamans,Marine Products,seafood-processing
Andhra Pradesh,Alluri Sitarama Raju,Coffee (Araku),beverage-brand
Andhra Pradesh,Anakapalli,Etikoppaka Lacquerware/Wooden Toys,toys-and-games-brand
Andhra Pradesh,Anantapuram (Anantapur),Cotton/Jean Pants,d2c-apparel-brand
Andhra Pradesh,Ananthpuram (Anantapur),Dharmavaram Silk Sarees,handloom-textiles-brand
Andhra Pradesh,Annamayya (Rayachoty),Cotton / Jean Pants,d2c-apparel-brand
Andhra Pradesh,Bapatla,Granite Cutting and Polishing,stone-and-marble-products
Andhra Pradesh,Chittoor,Venkatagiri Sarees,handloom-textiles-brand
Andhra Pradesh,Dr BR Ambedkar Konaseema,Natural banana fibres,eco-friendly-products-brand
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Shrimp,seafood-processing
Andhra Pradesh,East Godavari,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts)",pickle-and-papad-brand
Andhra Pradesh,Eluru,Gold Jewellery,jewellery-brand
Andhra Pradesh,Guntur,Chillies,spice-processing-unit
Andhra Pradesh,Kakinada,Uppada Jamdani Sarees,handloom-textiles-brand
Andhra Pradesh,Krishna,Machilipatnam Kalamkari,handloom-textiles-brand
Andhra Pradesh,Kurnool,Stone carved products,handcrafted-home-decor
Andhra Pradesh,NTR (Vijaywada),Kondapalli Toys,toys-and-games-brand
Andhra Pradesh,Nandyal,Allagadda Stone Carving,handcrafted-home-decor
Andhra Pradesh,Palnadu (Narasaraopeta),Durgi Stone Carving,handcrafted-home-decor
Andhra Pradesh,Parvathipuram Manyam,Bobilli Veena,handcrafted-home-decor
Andhra Pradesh,Prakasam,Granite (Black Galaxy),stone-and-marble-products
Andhra Pradesh,SPSR Nellore,Udayagiri Wooden Cutlery,handcrafted-home-decor
Andhra Pradesh,Sri Sathya Sai (Puttaparthi),Silk Sarees,handloom-textiles-brand
Andhra Pradesh,Srikakulam,Ponduru Cotton Sarees,handloom-textiles-brand
Andhra Pradesh,Tirupati,Srikalahasthi Kalamkari fabrics/Handicrafts,handcrafted-home-decor
Andhra Pradesh,Visakhapatnam,Seafood Cluster,seafood-processing
Andhra Pradesh,Vizianagaram,Mango Jelly,fruit-and-vegetable-processing
Andhra Pradesh,West Godavari District,Processed Prawn & Shrimp,seafood-processing
Andhra Pradesh,YSR Kadapa,Vonipenta Brass,handcrafted-home-decor
Arunachal Pradesh,Anjaw,Large Cardamom,spice-processing-unit
Arunachal Pradesh,Changlang,Areca nut,agro-processing-unit
Arunachal Pradesh,Dibang Valley,Kiwi,fruit-and-vegetable-processing
Arunachal Pradesh,East Kameng,Orange,fruit-and-vegetable-processing
Arunachal Pradesh,East Siang,Jaggery,honey-and-organic-produce
Arunachal Pradesh,Kamle,Orange,fruit-and-vegetable-processing
Arunachal Pradesh,Kra Daadi,Large Cardamom,spice-processing-unit
Arunachal Pradesh,Kurung Kumey,Large Cardamom,spice-processing-unit
Arunachal Pradesh,Leparada,King Chilli,spice-processing-unit
Arunachal Pradesh,Lohit,Mustard Seed,cold-pressed-oil-mill
Arunachal Pradesh,Longding,Bead Necklace,jewellery-brand
Arunachal Pradesh,Lower Dibang Valley,Ginger,spice-processing-unit
