id,slug,name,category,sub_category,pitch,onet_codes,budget_band,location,team,time_mode,km_legacy_id
1,home-bakery,Home Bakery,Food,Baking,"Cakes, cookies and breads baked at home and sold through WhatsApp, Instagram and local cafes.",51-3011.00;35-1011.00,1,local,solo,both,20
2,tiffin-service,Tiffin Service,Food,Meal Delivery,"Daily home-style lunch and dinner boxes for students, office-goers and PG residents.",35-2012.00;11-9051.00,1,local,small,full,73
3,cloud-kitchen,Cloud Kitchen,Food,Meal Delivery,A delivery-only kitchen selling one focused cuisine on Swiggy and Zomato.,35-1011.00;11-9051.00,3,local,team,full,3
4,breakfast-takeaway-counter,Breakfast Takeaway Counter,Food,Street Food,"Poha, idli, parathas and chai for the morning office and college rush.",35-3023.00;35-2014.00;11-9051.00,2,local,small,full,61
5,juice-and-shake-bar,Juice & Shake Bar,Food,Beverages,"Fresh juices, shakes and smoothies near gyms, colleges or markets.",35-3023.00;11-9051.00,2,local,small,full,62
6,event-catering,Event Catering,Food,Catering,"Food for weddings, birthdays and office events with a hired crew per booking.",35-1011.00;11-9051.00;13-1121.00,3,local,team,full,17
7,pickle-and-papad-brand,Pickle & Papad Brand,Food,Packaged Foods,"Regional pickles, papads and masalas packed and sold online and to local kiranas.",51-3092.00;41-4012.00;11-3051.00,2,any,small,both,
8,spice-processing-unit,Spice Processing Unit,Food,Packaged Foods,"Grinding, blending and packing spices for retail and bulk buyers.",51-3092.00;51-9111.00;51-1011.00,4,rural,team,full,19
9,healthy-snacks-brand,Healthy Snacks Brand,Food,Packaged Foods,"Better-for-you snacks — millet, popped, roasted or baked — for health-conscious city buyers.",51-3092.00;11-2021.00,3,any,small,full,
10,home-cooked-meals-for-elders,Home-Cooked Meals for Elders,Food,Meal Delivery,"Low-oil, low-salt meal subscriptions for senior citizens living alone.",35-2012.00;31-1122.00;11-9051.00,1,local,small,full,57
11,chai-kiosk-franchise,Chai Kiosk,Food,Beverages,"A small chai and snacks kiosk at a high-footfall spot, own brand or franchise.",35-3023.00;11-9051.00,2,local,small,full,75
12,sweet-shop,Sweet Shop (Mithai),Food,Retail Food,Traditional sweets and namkeen with festive-season gift boxes.,51-3011.00;41-1011.00,3,local,team,full,
13,honey-and-organic-produce,Honey & Organic Produce Brand,Agri & Rural,Farm-to-Consumer,"Source honey, jaggery and organic staples from farmers and sell direct to city homes.",11-9013.00;41-4012.00,2,rural,small,both,
14,mushroom-farming,Mushroom Farming,Agri & Rural,Farming,Oyster or button mushrooms grown in a small shed and sold to hotels and mandis.,11-9013.00;45-2092.00,1,rural,solo,both,
15,dairy-farm,Dairy Farm,Agri & Rural,Livestock,"A small herd supplying milk, paneer and ghee to the neighbourhood.",11-9013.00;45-2093.00,4,rural,small,full,
16,poultry-farm,Poultry Farm,Agri & Rural,Livestock,Broiler or desi egg poultry supplying local shops and restaurants.,11-9013.00;45-2093.00,3,rural,small,full,
17,nursery-and-plants,Plant Nursery,Agri & Rural,Horticulture,"Potted plants, saplings and garden supplies for homes, offices and landscapers.",45-2092.00;37-3011.00;11-9013.00,2,any,small,both,
18,vermicompost-unit,Vermicompost Unit,Agri & Rural,Agri Inputs,Turn farm and kitchen waste into packed organic manure for gardeners and farmers.,45-2092.00;19-4012.00,1,rural,solo,both,
19,agro-processing-unit,Agro Processing Unit,Agri & Rural,Food Processing,"Process local produce like dal, flour or dried fruit for wholesale buyers.",51-1011.00;51-3092.00;11-9013.00,4,rural,team,full,19
20,farm-equipment-rental,Farm Equipment Rental,Agri & Rural,Agri Services,"Rent tractors, sprayers and harvesters to small farmers by the hour or acre.",41-2021.00;49-3023.00;11-9013.00,4,rural,small,full,
21,kirana-store,Kirana / Grocery Store,Retail & Trading,Grocery,A neighbourhood grocery store with home delivery on WhatsApp.,41-1011.00;41-2011.00,3,local,small,full,71
22,crockery-and-kitchenware-store,Crockery & Kitchenware Store,Retail & Trading,Home Goods,"Crockery, cookware and gifting sets for households and wedding buyers.",41-2031.00;13-1022.00;41-1011.00,3,local,small,full,6
23,online-thrift-store,Online Thrift Store,Retail & Trading,Fashion Resale,Curate pre-loved clothes and sell through Instagram drops.,13-1022.00;41-2031.00;27-1022.00,1,online,solo,both,1
24,dropshipping-niche-store,Niche E-commerce Store,Retail & Trading,E-commerce,"An online store in one tight niche, fulfilled by suppliers or a 3PL.",13-1161.00;41-2031.00;15-1254.00,2,online,solo,both,22
25,mobile-accessories-store,Mobile Covers & Accessories,Retail & Trading,Electronics,"Phone covers, chargers and screen guards from a kiosk and online.",41-2031.00;13-1022.00,2,local,solo,full,54
26,stationery-and-art-supplies,Stationery & Art Supplies Store,Retail & Trading,Stationery,"School, office and hobby-art supplies near schools and colleges.",41-2031.00;41-1011.00,2,local,small,full,10
27,used-book-store,Second-Hand Book Store,Retail & Trading,Books,"Buy and resell used books, textbooks and exam guides, in a shop and online.",41-2031.00;25-4022.00,1,any,solo,both,70
28,wholesale-trading-fmcg,FMCG Distributorship,Retail & Trading,Distribution,Become the area distributor for FMCG brands supplying local retailers.,41-4012.00;11-3071.00,4,local,team,full,
29,bridal-accessories-store,Bridal Accessories Store,Retail & Trading,Wedding,"Bridal jewellery, dupattas and accessories for the wedding season.",41-2031.00;27-1022.00;41-1011.00,3,local,small,full,95
30,pharmacy,Pharmacy / Medical Store,Retail & Trading,Health Retail,A licensed chemist shop with home delivery and generic medicine options.,29-2052.00;41-1011.00,4,local,small,full,
31,optical-store,Optical Store,Retail & Trading,Health Retail,"Spectacles, lenses and eye-check camps in a growing neighbourhood.",29-2081.00;41-2031.00;41-1011.00,3,local,small,full,
32,franchise-outlet,Franchise Outlet,Retail & Trading,Franchise,Run an established brand's outlet with its playbook and supply chain.,11-1021.00;41-1011.00,4,local,team,full,75
33,custom-gifting-store,Custom Gifting Studio,Crafts & Manufacturing,Gifting,"Personalised hampers, mugs, frames and corporate gift boxes.",27-1012.00;41-2031.00;27-1024.00;51-1011.00,2,any,small,both,5
34,candle-making,Candle Making,Crafts & Manufacturing,Home Decor,"Scented and decorative candles sold online, at fairs and to gift shops.",27-1012.00,1,any,solo,both,31
35,handcrafted-home-decor,Handcrafted Home Decor Brand,Crafts & Manufacturing,Home Decor,"Lamps, wall art and décor made with local crafts and sold online.",27-1012.00;27-1025.00;51-1011.00,2,any,small,both,7
36,oxidised-jewellery,Oxidised & Handmade Jewellery,Crafts & Manufacturing,Jewellery,"Handmade and oxidised jewellery sold on Instagram, Meesho and at exhibitions.",51-9071.00;27-1012.00,1,any,solo,both,51
37,wooden-name-boards,Wooden Name Plates & Signage,Crafts & Manufacturing,Woodwork,"Custom wooden name plates, signs and décor for homes and cafes.",51-7011.00;27-1012.00,2,any,solo,both,40
38,pottery-studio,Pottery & Ceramics Studio,Crafts & Manufacturing,Ceramics,Handmade tableware plus weekend pottery workshops.,27-1012.00;25-3021.00;51-1011.00,3,local,small,both,41
39,soft-toys,Handmade Soft Toys,Crafts & Manufacturing,Toys,"Safe, cuddly handmade toys for gifting and baby-shower hampers.",51-6052.00;27-1012.00,1,any,solo,both,55
40,upcycled-furniture,Upcycled Furniture,Crafts & Manufacturing,Furniture,Restore and redesign old furniture for cafes and style-conscious homes.,51-7011.00;51-7021.00;27-1025.00;51-1011.00,2,local,small,both,76
41,furniture-workshop,Furniture Workshop,Crafts & Manufacturing,Furniture,"Custom beds, wardrobes and office furniture made to order.",51-7011.00;47-2031.00;51-1011.00,4,local,team,full,
42,handloom-textiles-brand,Handloom Textiles Brand,Crafts & Manufacturing,Textiles,"Work with local weavers and sell sarees, stoles and fabric direct to buyers.",51-6063.00;27-1022.00;41-4012.00;51-1011.00,3,any,small,full,
43,printing-press,Printing & Packaging Unit,Crafts & Manufacturing,Printing,"Visiting cards, labels, boxes and packaging for local businesses.",51-5112.00;51-1011.00,4,local,team,full,
44,paper-bag-unit,Paper Bag Manufacturing,Crafts & Manufacturing,Packaging,Paper and cloth bags for shops as plastic bans tighten.,51-9111.00;51-1011.00,3,any,small,full,
45,leather-goods-workshop,Leather Goods Workshop,Crafts & Manufacturing,Leather,"Wallets, belts and bags made to order and sold wholesale and online.",51-6041.00;27-1012.00;51-1011.00,3,any,small,full,
46,metal-fabrication-shop,Metal Fabrication Shop,Crafts & Manufacturing,Fabrication,"Gates, grills, sheds and racks welded to order.",51-4121.00;51-1011.00,3,local,small,full,
47,export-of-handicrafts,Handicraft Export House,Crafts & Manufacturing,Export,Aggregate district crafts and ship to overseas buyers and marketplaces.,41-4012.00;13-1081.00;27-1012.00;51-1011.00,4,any,team,full,
48,ethnic-wear-label,Ethnic Wear Label,Fashion & Apparel,Womenswear,"Kurtas, lehengas and festive wear designed in-house and sold online.",27-1022.00;51-6052.00;51-1011.00,3,any,small,full,45
49,boutique-tailoring,Boutique & Tailoring,Fashion & Apparel,Tailoring,"Custom stitching, blouse design and alterations in the neighbourhood.",51-6052.00;27-1022.00;51-1011.00,2,local,small,full,
50,custom-tshirt-printing,Custom T-Shirt Printing,Fashion & Apparel,Printwear,"Printed tees for colleges, events and startups, sold online too.",51-5112.00;27-1024.00,2,any,solo,both,47
51,fitness-apparel-brand,Fitness Apparel Brand,Fashion & Apparel,Activewear,Activewear designed for Indian body types and climate.,27-1022.00;11-2021.00,3,online,small,full,38
52,hair-accessories-brand,Hair Accessories Brand,Fashion & Apparel,Accessories,"Scrunchies, clips and hair bands sold via Instagram and marketplaces.",27-1012.00;41-2031.00,1,online,solo,both,53
53,laundry-and-ironing,Laundry & Ironing Service,Home & Trade Services,Laundry,"Pickup-and-drop laundry, dry cleaning and ironing for apartments.",51-6011.00;51-6021.00;37-1011.00,3,local,small,full,
54,home-cleaning-service,Home Cleaning Service,Home & Trade Services,Cleaning,"Deep cleaning of homes, sofas and offices with a trained crew.",37-2012.00;37-2011.00;37-1011.00,2,local,team,full,16
55,pest-control-service,Pest Control Service,Home & Trade Services,Pest Control,"Termite, cockroach and mosquito treatment for homes and shops.",37-2021.00;37-1011.00,2,local,small,full,
56,electrician-service,Electrician Service,Home & Trade Services,Repairs,"Home wiring, fittings and repairs booked by phone and apps.",47-2111.00,1,local,solo,full,
57,plumbing-service,Plumbing Service,Home & Trade Services,Repairs,"Leaks, fittings and bathroom installs for homes and builders.",47-2152.00,1,local,solo,full,
58,ac-repair-service,AC & Appliance Repair,Home & Trade Services,Repairs,"AC servicing, fridge and washing machine repair with annual contracts.",49-9021.00;49-9031.00;47-1011.00,2,local,small,full,
59,mobile-and-laptop-repair,Mobile & Laptop Repair Shop,Home & Trade Services,Electronics Repair,"Screen, battery and board repairs for phones and laptops.",49-2011.00;49-2022.00,2,local,solo,full,
60,home-painting-contractor,Painting Contractor,Home & Trade Services,Construction,Interior and exterior painting with a small crew.,47-2141.00;47-1011.00,2,local,team,full,
61,interior-design-studio,Interior Design Studio,Home & Trade Services,Interiors,Design and execute homes and small offices with trusted contractors.,27-1025.00;11-9021.00,3,local,small,full,
62,solar-installation,Solar Installation Business,Home & Trade Services,Energy,"Rooftop solar for homes and shops, using PM Surya Ghar subsidies.",47-2231.00;47-2111.00;41-9031.00;47-1011.00,4,any,team,full,87
63,cctv-installation,CCTV & Smart Home Installation,Home & Trade Services,Security,"Install and maintain CCTV, video doorbells and smart locks.",49-2097.00;47-2111.00;47-1011.00,2,local,small,full,
64,landscaping-service,Landscaping & Garden Maintenance,Home & Trade Services,Gardening,"Design and maintain terrace gardens, society lawns and office plants.",37-3011.00;37-1012.00,2,local,small,both,
65,car-detailing,Car Wash & Detailing,Mobility & Logistics,Auto Services,"Doorstep car washing, detailing and ceramic coating.",49-3023.00;37-2011.00;11-3071.00,2,local,small,full,
66,two-wheeler-garage,Two-Wheeler Garage,Mobility & Logistics,Auto Services,"Servicing and repair for bikes and scooters, including EVs.",49-3052.00;11-3071.00,2,local,small,full,
67,ev-charging-and-rental,EV Scooter Rental,Mobility & Logistics,EV,Rent electric scooters to delivery riders and students by the day or month.,41-2021.00;49-3052.00;11-3071.00,4,local,small,full,
68,local-delivery-service,Local Delivery Service,Mobility & Logistics,Logistics,Same-day parcel delivery for shops and home businesses in your city.,53-3033.00;43-5032.00;11-3071.00,2,local,team,full,
69,packers-and-movers,Packers & Movers,Mobility & Logistics,Logistics,"House and office shifting with packing, transport and unpacking.",53-3032.00;11-3071.00,4,local,team,full,
70,driving-school,Driving School,Mobility & Logistics,Training,Teach new drivers with dual-control cars and help with licence paperwork.,53-3053.00;25-3021.00;11-3071.00,3,local,small,full,2
71,travel-agency,Travel Agency,Events & Hospitality,Travel,"Plan domestic trips, pilgrimages and group tours with local partners.",41-3041.00;39-7011.00;11-1021.00,1,any,small,both,
72,homestay,Homestay / Bed & Breakfast,Events & Hospitality,Stays,"Rent rooms in a home or farmhouse to travellers, listed on Airbnb and OTAs.",11-9081.00;43-4081.00,4,any,small,full,14
73,paying-guest-hostel,PG / Hostel,Events & Hospitality,Stays,Furnished rooms with meals for students and working professionals.,11-9141.00;41-2021.00,4,local,small,full,56
74,event-planning,Event Planning,Events & Hospitality,Events,"Birthdays, corporate offsites and small functions managed end to end.",13-1121.00;11-1021.00,1,local,small,both,9
75,wedding-planning,Wedding Planning,Events & Hospitality,Weddings,"Plan and run weddings with a vendor network: décor, catering and logistics.",13-1121.00;11-1021.00,2,local,team,full,97
76,tent-and-decor-rental,"Tent, Décor & Sound Rental",Events & Hospitality,Rentals,"Rent tents, lighting, sound and décor for local functions.",41-2021.00;49-2097.00;11-1021.00,4,local,team,full,
77,local-tour-guide,Local Experiences & Walks,Events & Hospitality,Tourism,"Food walks, heritage walks and village experiences for tourists.",39-7011.00,1,local,solo,both,
78,coaching-centre,Coaching Centre,Education & Coaching,Tutoring,Coaching for school boards or competitive exams in your subject.,25-3041.00;25-2021.00;11-9032.00,2,local,small,full,58
79,test-prep-online,Online Test Prep,Education & Coaching,Test Prep,"Online batches and mock tests for exams like CAT, SSC or NEET.",25-3041.00;25-9031.00,1,online,solo,both,15
80,home-tuition,Home Tuition,Education & Coaching,Tutoring,One-on-one tutoring at students' homes or online.,25-3041.00,1,local,solo,both,
81,spoken-english-classes,Spoken English & Communication Classes,Education & Coaching,Language,Spoken English and interview-skills batches for students and job seekers.,25-3021.00;27-3091.00,1,any,solo,both,11
82,language-learning-platform,Language Learning Platform,Education & Coaching,EdTech,An app or cohort programme teaching a language to learners online.,25-9031.00;15-1252.00;11-9032.00,3,online,small,full,11
83,playschool-and-daycare,Playschool & Daycare,Education & Coaching,Early Childhood,A safe preschool and daycare for working parents.,25-2011.00;39-9011.00;11-9031.00,4,local,team,full,
84,career-counselling,Career Counselling,Education & Coaching,Counselling,"Help students choose streams, colleges and careers.",21-1012.00,1,any,solo,both,
85,skill-training-institute,Skill Training Institute,Education & Coaching,Vocational,"Short courses in trades, tally, digital marketing or beauty.",25-3021.00;13-1151.00;11-9032.00,3,local,team,full,
86,dance-studio,Dance Studio,Education & Coaching,Performing Arts,Classes for kids and adults plus wedding choreography.,27-2032.00;27-2031.00;11-9032.00,3,local,small,both,13
87,music-classes,Music Classes,Education & Coaching,Performing Arts,"Teach vocals, guitar or keyboard in person and online.",27-2042.00;25-3021.00,1,any,solo,both,
88,art-and-craft-classes,Art & Craft Workshops,Education & Coaching,Hobby,Weekend workshops and kids' art classes.,27-1013.00;25-3021.00,1,local,solo,both,
89,fitness-coaching,Fitness Coaching,Health & Wellness,Fitness,Personal training and online fitness programmes.,39-9031.00,1,any,solo,both,26
90,yoga-studio,Yoga & Meditation Studio,Health & Wellness,Yoga,"Group and private yoga classes, offline and on Zoom.",39-9031.00;25-3021.00,2,any,solo,both,18
91,zumba-and-dance-fitness,Zumba & Dance Fitness,Health & Wellness,Fitness,High-energy dance fitness batches in societies and studios.,39-9031.00;27-2031.00,1,local,solo,both,36
92,nutrition-coaching,Nutrition & Diet Coaching,Health & Wellness,Nutrition,"Personalised diet plans and habit coaching, mostly online.",29-1031.00,1,online,solo,both,25
93,gym,Neighbourhood Gym,Health & Wellness,Fitness,"An affordable, well-equipped gym with trainers and memberships.",39-9031.00;11-1021.00,4,local,team,full,
94,beauty-salon,Beauty Salon & Spa,Health & Wellness,Beauty,"Hair, skin and grooming services, with bridal packages.",39-5012.00;39-5094.00;39-1022.00,3,local,team,full,59
95,makeup-artist,Freelance Makeup Artist,Health & Wellness,Beauty,Bridal and party makeup at clients' homes and venues.,39-5091.00,1,local,solo,both,34
96,barbershop,Barbershop / Men's Grooming,Health & Wellness,Grooming,A modern men's grooming salon with memberships.,39-5011.00;39-1022.00,3,local,small,full,
